id,nome,idade,experiencia_anos,salario,horas_semana,avaliacao,departamento
1,Ana,25,2,3200,40,7.5,TI
2,Bruno,32,7,6800,44,8.9,Financeiro
3,Carlos,29,4,4500,42,8.1,TI
4,Daniela,41,15,12000,50,9.4,Gestão
5,Eduardo,22,1,1800,38,6.8,RH
6,Fernanda,35,10,8200,45,9.0,TI
7,Gabriel,28,3,,40,7.2,Marketing
8,Helena,45,20,15000,55,9.8,Diretoria
9,Igor,31,6,5400,41,8.0,Financeiro
10,Juliana,27,3,4100,39,,TI
11,Lucas,38,12,9000,48,9.1,Gestão
12,Marina,24,2,3100,40,7.0,RH
13,Nicolas,34,9,7600,46,8.7,TI
14,Otavio,50,30,22000,60,9.9,Diretoria
15,Patricia,26,4,4300,40,7.8,Marketing
